日付,商品名,カテゴリ,担当者,地域,顧客タイプ,顧客ID,チャネル,数量,売上金額,原価,利益額,利益率(%),キャンペーン
2024-01-04,スタータープラン,SaaS,佐藤 健,福岡,スタートアップ,SU-0003,直販,5,108087,40697,67390,62.3,
2024-01-06,フリープランUpgrade,SaaS,田中 みゆ,東京,中小企業,SU-0029,Web,1,9528,3862,5666,59.5,
2024-01-11,オンボーディング支援,Service,佐藤 健,大阪,中小企業,SU-0041,直販,1,139751,50717,89034,63.7,
2024-01-17,スタータープラン,SaaS,山田 翔太,福岡,大手企業,SU-0129,直販,3,174115,66234,107881,62.0,
2024-01-18,スタータープラン,SaaS,鈴木 あかり,大阪,中堅企業,SU-0156,直販,1,38389,14117,24272,63.2,
2024-01-19,フリープランUpgrade,SaaS,田中 みゆ,その他,スタートアップ,SU-0138,Web,5,37901,16215,21686,57.2,
2024-01-21,API利用従量課金,SaaS,佐藤 健,大阪,中堅企業,SU-0098,Web,1,18892,3624,15268,80.8,
2024-01-21,スタータープラン,SaaS,田中 みゆ,その他,スタートアップ,SU-0184,Web,5,130205,50467,79738,61.2,
2024-01-22,フリープランUpgrade,SaaS,山田 翔太,その他,スタートアップ,SU-0036,直販,2,13918,5250,8668,62.3,
2024-01-23,スタータープラン,SaaS,山田 翔太,東京,中小企業,SU-0093,直販,5,154766,61059,93707,60.5,
2024-01-23,スタータープラン,SaaS,田中 みゆ,大阪,中小企業,SU-0051,直販,5,147183,54192,92991,63.2,
2024-01-25,API利用従量課金,SaaS,山田 翔太,大阪,中小企業,SU-0176,Web,2,32316,6739,25577,79.1,
2024-01-26,フリープランUpgrade,SaaS,山田 翔太,その他,スタートアップ,SU-0089,直販,3,23724,10118,13606,57.4,
2024-02-01,フリープランUpgrade,SaaS,佐藤 健,その他,中小企業,SU-0200,紹介,5,43349,18381,24968,57.6,
2024-02-02,フリープランUpgrade,SaaS,田中 みゆ,大阪,中小企業,SU-0192,Web,1,8757,3506,5251,60.0,
2024-02-05,オンボーディング支援,Service,田中 みゆ,大阪,スタートアップ,SU-0049,Web,1,113622,38374,75248,66.2,
2024-02-06,フリープランUpgrade,SaaS,田中 みゆ,東京,中小企業,SU-0103,紹介,2,21882,8465,13417,61.3,
2024-02-08,オンボーディング支援,Service,田中 みゆ,東京,スタートアップ,SU-0018,直販,1,132717,46904,85813,64.7,
2024-02-08,オンボーディング支援,Service,山田 翔太,東京,中堅企業,SU-0079,Web,1,205853,75236,130617,63.5,
2024-02-09,スタータープラン,SaaS,田中 みゆ,大阪,中堅企業,SU-0019,Web,3,117314,45973,71341,60.8,
2024-02-18,API利用従量課金,SaaS,鈴木 あかり,福岡,中小企業,SU-0033,直販,2,30199,6129,24070,79.7,
2024-02-18,API利用従量課金,SaaS,山田 翔太,東京,スタートアップ,SU-0026,Web,5,66139,13873,52266,79.0,
2024-02-19,グロースプラン,SaaS,佐藤 健,福岡,スタートアップ,SU-0021,Web,1,59308,19552,39756,67.0,
2024-02-19,スタータープラン,SaaS,鈴木 あかり,東京,スタートアップ,SU-0151,直販,1,21385,8275,13110,61.3,
2024-02-21,スタータープラン,SaaS,山田 翔太,東京,スタートアップ,SU-0173,直販,1,23282,8648,14634,62.9,
2024-02-22,API利用従量課金,SaaS,佐藤 健,その他,中堅企業,SU-0183,Web,2,42740,8489,34251,80.1,
2024-02-24,エンタープライズ,SaaS,田中 みゆ,大阪,中小企業,SU-0109,直販,1,183263,44005,139258,76.0,
2024-02-26,オンボーディング支援,Service,田中 みゆ,大阪,中小企業,SU-0063,直販,1,135395,48442,86953,64.2,
2024-03-03,スタータープラン,SaaS,佐藤 健,福岡,中小企業,SU-0085,Web,4,123247,46176,77071,62.5,春のスタートダッシュ
2024-03-03,エンタープライズ,SaaS,佐藤 健,福岡,大手企業,SU-0189,Web,1,321619,85492,236127,73.4,春のスタートダッシュ
2024-03-04,スタータープラン,SaaS,田中 みゆ,大阪,中小企業,SU-0156,紹介,4,112183,43875,68308,60.9,春のスタートダッシュ
2024-03-05,オンボーディング支援,Service,佐藤 健,福岡,スタートアップ,SU-0028,直販,1,123019,44368,78651,63.9,春のスタートダッシュ
2024-03-06,フリープランUpgrade,SaaS,田中 みゆ,その他,スタートアップ,SU-0164,紹介,2,15909,6017,9892,62.2,春のスタートダッシュ
2024-03-07,オンボーディング支援,Service,鈴木 あかり,東京,中小企業,SU-0011,紹介,1,144732,51080,93652,64.7,春のスタートダッシュ
2024-03-08,オンボーディング支援,Service,鈴木 あかり,大阪,大手企業,SU-0192,Web,1,294715,96287,198428,67.3,春のスタートダッシュ
2024-03-09,API利用従量課金,SaaS,鈴木 あかり,福岡,中小企業,SU-0030,紹介,1,13337,2703,10634,79.7,春のスタートダッシュ
2024-03-12,API利用従量課金,SaaS,鈴木 あかり,その他,中小企業,SU-0140,Web,2,27317,5316,22001,80.5,春のスタートダッシュ
2024-03-12,API利用従量課金,SaaS,山田 翔太,大阪,スタートアップ,SU-0130,Web,2,23248,4426,18822,81.0,春のスタートダッシュ
2024-03-15,スタータープラン,SaaS,田中 みゆ,その他,スタートアップ,SU-0156,直販,5,124224,47278,76946,61.9,春のスタートダッシュ
2024-03-15,スタータープラン,SaaS,佐藤 健,福岡,スタートアップ,SU-0057,Web,4,102695,41052,61643,60.0,春のスタートダッシュ
2024-03-17,API利用従量課金,SaaS,佐藤 健,その他,中小企業,SU-0185,紹介,1,14374,2954,11420,79.4,春のスタートダッシュ
2024-03-22,グロースプラン,SaaS,鈴木 あかり,福岡,スタートアップ,SU-0171,紹介,1,62400,20900,41500,66.5,春のスタートダッシュ
2024-03-24,フリープランUpgrade,SaaS,鈴木 あかり,福岡,中堅企業,SU-0176,直販,5,62649,26634,36015,57.5,春のスタートダッシュ
2024-03-25,スタータープラン,SaaS,山田 翔太,東京,スタートアップ,SU-0118,Web,3,70803,28782,42021,59.3,春のスタートダッシュ
2024-03-26,オンボーディング支援,Service,山田 翔太,福岡,中小企業,SU-0157,紹介,1,165543,54724,110819,66.9,春のスタートダッシュ
2024-03-28,グロースプラン,SaaS,鈴木 あかり,福岡,スタートアップ,SU-0106,直販,1,58618,19286,39332,67.1,春のスタートダッシュ
2024-03-28,スタータープラン,SaaS,山田 翔太,東京,中小企業,SU-0130,Web,3,92281,36683,55598,60.2,春のスタートダッシュ
2024-04-02,グロースプラン,SaaS,鈴木 あかり,その他,スタートアップ,SU-0051,Web,1,65544,21762,43782,66.8,
2024-04-03,グロースプラン,SaaS,山田 翔太,東京,スタートアップ,SU-0090,Web,1,70728,21680,49048,69.3,
2024-04-06,グロースプラン,SaaS,田中 みゆ,その他,中堅企業,SU-0141,Web,1,97744,30171,67573,69.1,
2024-04-06,フリープランUpgrade,SaaS,田中 みゆ,東京,中小企業,SU-0200,Web,1,9935,4206,5729,57.7,
2024-04-08,グロースプラン,SaaS,佐藤 健,その他,中小企業,SU-0134,Web,1,71707,22257,49450,69.0,
