日付,商品名,カテゴリ,担当者,地域,顧客タイプ,顧客ID,チャネル,数量,売上金額,原価,利益額,利益率(%),キャンペーン
2023-01-06,業務用食材,食品,西村 拓,島根,官公庁,REG-0147,代理店,4,128185,68338,59847,46.7,
2023-01-08,農産物（直送）,食品,本田 一郎,山口,中小企業,REG-0123,直販,22,171082,76412,94670,55.3,
2023-01-15,地域特産品,特産品,中村 幸子,島根,個人事業主,REG-0115,代理店,9,89936,36296,53640,59.6,
2023-01-15,電化製品,家電,西村 拓,岡山,中小企業,REG-0085,直販,2,79504,42730,36774,46.3,
2023-01-16,日用品,日用品,本田 一郎,山口,中小企業,REG-0018,Web,12,32865,19779,13086,39.8,
2023-01-17,地域特産品,特産品,西村 拓,広島,個人事業主,REG-0021,代理店,10,112214,42448,69766,62.2,
2023-01-18,食品・飲料,食品,岡田 太郎,鳥取,官公庁,REG-0117,Web,41,203977,119989,83988,41.2,
2023-01-18,食品・飲料,食品,松田 恵,島根,中小企業,REG-0096,直販,100,375367,243336,132031,35.2,
2023-01-21,日用品,日用品,松田 恵,鳥取,個人事業主,REG-0045,代理店,29,69273,37853,31420,45.4,
2023-01-21,日用品,日用品,西村 拓,岡山,中小企業,REG-0147,直販,79,197954,108676,89278,45.1,
2023-01-21,日用品,日用品,西村 拓,山口,個人事業主,REG-0080,代理店,69,168737,94019,74718,44.3,
2023-01-24,農産物（直送）,食品,本田 一郎,岡山,官公庁,REG-0147,直販,16,163120,76873,86247,52.9,
2023-01-24,包装・資材,資材,西村 拓,広島,中小企業,REG-0127,直販,7,111160,67330,43830,39.4,
2023-01-27,農産物（直送）,食品,本田 一郎,岡山,個人事業主,REG-0006,直販,44,304823,128438,176385,57.9,
2023-02-01,電化製品,家電,本田 一郎,島根,中小企業,REG-0124,代理店,10,455577,233443,222134,48.8,春節セール
2023-02-03,地域特産品,特産品,本田 一郎,島根,中小企業,REG-0005,直販,7,74596,30246,44350,59.5,春節セール
2023-02-05,農産物（直送）,食品,松田 恵,広島,中小企業,REG-0077,Web,33,267952,128475,139477,52.1,春節セール
2023-02-08,食品・飲料,食品,本田 一郎,広島,個人事業主,REG-0033,代理店,72,238798,147287,91511,38.3,春節セール
2023-02-10,食品・飲料,食品,中村 幸子,岡山,個人事業主,REG-0149,代理店,79,225428,137414,88014,39.0,春節セール
2023-02-11,地域特産品,特産品,西村 拓,広島,個人事業主,REG-0054,Web,8,75956,29063,46893,61.7,春節セール
2023-02-12,地域特産品,特産品,中村 幸子,山口,個人事業主,REG-0059,直販,7,66061,27812,38249,57.9,春節セール
2023-02-12,地域特産品,特産品,岡田 太郎,鳥取,中小企業,REG-0092,直販,9,107118,44663,62455,58.3,春節セール
2023-02-14,地域特産品,特産品,本田 一郎,島根,中堅企業,REG-0053,直販,6,93949,38848,55101,58.6,春節セール
2023-02-14,日用品,日用品,松田 恵,岡山,個人事業主,REG-0135,直販,53,120081,66564,53517,44.6,春節セール
2023-02-16,業務用食材,食品,松田 恵,鳥取,個人事業主,REG-0066,代理店,6,117347,63540,53807,45.9,春節セール
2023-02-18,食品・飲料,食品,本田 一郎,島根,中堅企業,REG-0048,Web,67,249916,162468,87448,35.0,春節セール
2023-02-18,地域特産品,特産品,中村 幸子,広島,中小企業,REG-0103,直販,1,10963,4688,6275,57.2,春節セール
2023-02-19,農産物（直送）,食品,中村 幸子,鳥取,中小企業,REG-0071,直販,43,348611,146923,201688,57.9,春節セール
2023-02-20,地域特産品,特産品,本田 一郎,広島,中小企業,REG-0097,代理店,5,55509,23017,32492,58.5,春節セール
2023-02-21,農産物（直送）,食品,本田 一郎,鳥取,中小企業,REG-0066,直販,36,311993,132386,179607,57.6,春節セール
2023-02-21,包装・資材,資材,中村 幸子,広島,個人事業主,REG-0106,直販,1,16060,8973,7087,44.1,春節セール
2023-02-22,日用品,日用品,岡田 太郎,岡山,中堅企業,REG-0097,直販,62,215996,122607,93389,43.2,春節セール
