日付,商品名,カテゴリ,担当者,地域,数量,売上金額,利益率(%)
2023-01-06,業務用食材,食品,西村 拓,島根,4,128185,46.7
2023-01-08,農産物（直送）,食品,本田 一郎,山口,22,171082,55.3
2023-01-15,地域特産品,特産品,中村 幸子,島根,9,89936,59.6
2023-01-15,電化製品,家電,西村 拓,岡山,2,79504,46.3
2023-01-16,日用品,日用品,本田 一郎,山口,12,32865,39.8
2023-01-17,地域特産品,特産品,西村 拓,広島,10,112214,62.2
2023-01-18,食品・飲料,食品,岡田 太郎,鳥取,41,203977,41.2
2023-01-18,食品・飲料,食品,松田 恵,島根,100,375367,35.2
2023-01-21,日用品,日用品,松田 恵,鳥取,29,69273,45.4
2023-01-21,日用品,日用品,西村 拓,岡山,79,197954,45.1
2023-01-21,日用品,日用品,西村 拓,山口,69,168737,44.3
2023-01-24,農産物（直送）,食品,本田 一郎,岡山,16,163120,52.9
2023-01-24,包装・資材,資材,西村 拓,広島,7,111160,39.4
2023-01-27,農産物（直送）,食品,本田 一郎,岡山,44,304823,57.9
2023-02-01,電化製品,家電,本田 一郎,島根,10,455577,48.8
2023-02-03,地域特産品,特産品,本田 一郎,島根,7,74596,59.5
2023-02-05,農産物（直送）,食品,松田 恵,広島,33,267952,52.1
2023-02-08,食品・飲料,食品,本田 一郎,広島,72,238798,38.3
2023-02-10,食品・飲料,食品,中村 幸子,岡山,79,225428,39.0
2023-02-11,地域特産品,特産品,西村 拓,広島,8,75956,61.7
2023-02-12,地域特産品,特産品,中村 幸子,山口,7,66061,57.9
2023-02-12,地域特産品,特産品,岡田 太郎,鳥取,9,107118,58.3
2023-02-14,地域特産品,特産品,本田 一郎,島根,6,93949,58.6
2023-02-14,日用品,日用品,松田 恵,岡山,53,120081,44.6
2023-02-16,業務用食材,食品,松田 恵,鳥取,6,117347,45.9
2023-02-18,食品・飲料,食品,本田 一郎,島根,67,249916,35.0
2023-02-18,地域特産品,特産品,中村 幸子,広島,1,10963,57.2
2023-02-19,農産物（直送）,食品,中村 幸子,鳥取,43,348611,57.9
2023-02-20,地域特産品,特産品,本田 一郎,広島,5,55509,58.5
2023-02-21,農産物（直送）,食品,本田 一郎,鳥取,36,311993,57.6
