日付,商品名,カテゴリ,担当者,地域,数量,売上金額,利益率(%)
2022-01-06,年間保守契約,Support,小林 美咲,広島,1,1078433,80.9
2022-01-07,年間保守契約,Support,橋本 彩子,広島,1,1570438,82.5
2022-01-11,データ分析基盤構築,Software,橋本 彩子,広島,1,4598247,77.1
2022-01-11,データ分析基盤構築,Software,伊藤 大介,東京,1,4847784,79.0
2022-01-12,ライセンス（追加）,License,木村 誠司,仙台,1,661461,51.9
2022-01-20,ヘルプデスク運用,Support,中島 健太,福岡,1,345088,69.4
2022-01-25,エンタープライズERP,Software,小林 美咲,東京,1,9555287,79.5
2022-02-01,年間保守契約,Support,伊藤 大介,福岡,1,1559855,82.7
2022-02-02,年間保守契約,Support,木村 誠司,仙台,1,1434217,82.3
2022-02-05,クラウド移行支援,Consulting,木村 誠司,大阪,1,3722897,75.3
2022-02-16,年間保守契約,Support,橋本 彩子,大阪,1,1459153,81.1
2022-02-18,ライセンス（追加）,License,木村 誠司,東京,1,629282,53.0
2022-02-20,年間保守契約,Support,橋本 彩子,福岡,1,1202711,81.9
2022-02-22,セキュリティ監査,Consulting,橋本 彩子,大阪,1,2383518,71.4
2022-02-23,セキュリティ監査,Consulting,伊藤 大介,福岡,1,1854092,71.2
2022-02-24,データ分析基盤構築,Software,伊藤 大介,名古屋,1,4957923,79.3
2022-03-01,セキュリティ監査,Consulting,斎藤 里奈,福岡,1,2708205,72.1
2022-03-02,データ分析基盤構築,Software,小林 美咲,名古屋,1,4775922,79.2
2022-03-02,トレーニング・研修,Service,小林 美咲,仙台,1,572325,63.9
2022-03-03,データ分析基盤構築,Software,中島 健太,名古屋,1,4232215,77.6
2022-03-06,セキュリティ監査,Consulting,伊藤 大介,広島,1,2473935,72.2
2022-03-06,ライセンス（追加）,License,中島 健太,仙台,1,978195,56.0
2022-03-19,セキュリティ監査,Consulting,斎藤 里奈,福岡,1,2877001,71.0
2022-03-19,年間保守契約,Support,木村 誠司,広島,1,1609470,81.2
2022-03-22,エンタープライズERP,Software,木村 誠司,広島,1,9288765,79.2
2022-03-22,トレーニング・研修,Service,小林 美咲,大阪,1,429833,67.4
2022-03-25,エンタープライズERP,Software,斎藤 里奈,福岡,1,8433966,80.2
2022-03-25,クラウド移行支援,Consulting,伊藤 大介,大阪,1,5244221,74.3
2022-03-26,年間保守契約,Support,斎藤 里奈,福岡,1,1501687,80.8
2022-03-28,データ分析基盤構築,Software,斎藤 里奈,仙台,1,4951485,76.9
2022-04-11,トレーニング・研修,Service,渡辺 浩二,大阪,1,480318,66.1
2022-04-20,クラウド移行支援,Consulting,小林 美咲,大阪,1,5983833,74.5
2022-04-22,ライセンス（追加）,License,木村 誠司,広島,1,741619,51.9
2022-04-22,トレーニング・研修,Service,中島 健太,広島,1,548562,62.7
2022-04-22,ライセンス（追加）,License,斎藤 里奈,名古屋,1,839393,56.4
2022-04-27,エンタープライズERP,Software,渡辺 浩二,大阪,1,8871641,80.0
2022-05-02,ライセンス（追加）,License,小林 美咲,福岡,1,849550,53.7
2022-05-03,ヘルプデスク運用,Support,伊藤 大介,広島,1,282042,70.2
2022-05-13,トレーニング・研修,Service,小林 美咲,福岡,1,409089,64.8
2022-05-18,データ分析基盤構築,Software,中島 健太,福岡,1,4195857,77.6
2022-05-21,ヘルプデスク運用,Support,小林 美咲,東京,1,348366,68.5
2022-05-21,セキュリティ監査,Consulting,橋本 彩子,大阪,1,1823533,70.2
2022-05-25,ヘルプデスク運用,Support,斎藤 里奈,福岡,1,295396,68.6
2022-06-01,ヘルプデスク運用,Support,斎藤 里奈,仙台,1,320757,69.2
2022-06-01,データ分析基盤構築,Software,木村 誠司,名古屋,1,4020538,77.1
2022-06-06,ライセンス（追加）,License,渡辺 浩二,東京,1,681734,57.3
2022-06-08,年間保守契約,Support,伊藤 大介,東京,1,1094410,81.3
2022-06-11,年間保守契約,Support,木村 誠司,広島,1,977502,82.9
2022-06-12,クラウド移行支援,Consulting,斎藤 里奈,東京,1,4916031,75.2
2022-06-15,エンタープライズERP,Software,小林 美咲,仙台,1,8241739,79.8
2022-06-16,データ分析基盤構築,Software,木村 誠司,東京,1,3967801,76.7
2022-06-19,クラウド移行支援,Consulting,橋本 彩子,福岡,1,5255842,74.0
2022-06-20,データ分析基盤構築,Software,中島 健太,仙台,1,2798812,77.1
2022-06-27,クラウド移行支援,Consulting,中島 健太,東京,1,5343215,76.2
2022-07-02,ライセンス（追加）,License,伊藤 大介,大阪,1,688448,58.0
2022-07-04,ライセンス（追加）,License,橋本 彩子,広島,1,881120,56.9
2022-07-06,データ分析基盤構築,Software,伊藤 大介,広島,1,4000630,79.0
2022-07-10,年間保守契約,Support,渡辺 浩二,福岡,1,1409754,82.7
2022-07-12,セキュリティ監査,Consulting,渡辺 浩二,大阪,1,2593657,73.8
2022-07-12,年間保守契約,Support,渡辺 浩二,大阪,1,1417422,82.4
2022-07-14,ライセンス（追加）,License,橋本 彩子,大阪,1,992423,55.3
2022-07-19,年間保守契約,Support,伊藤 大介,名古屋,1,1412029,81.4
2022-07-26,データ分析基盤構築,Software,橋本 彩子,広島,1,4871284,76.7
2022-07-26,データ分析基盤構築,Software,中島 健太,福岡,1,3138497,78.9
2022-07-28,エンタープライズERP,Software,中島 健太,仙台,1,9016288,80.1
2022-08-01,トレーニング・研修,Service,中島 健太,広島,1,484362,63.1
2022-08-02,エンタープライズERP,Software,斎藤 里奈,仙台,1,9746368,79.1
2022-08-03,クラウド移行支援,Consulting,木村 誠司,福岡,1,5619070,76.2
