日付,商品名,カテゴリ,担当者,地域,数量,売上金額,利益率(%)
2024-01-02,設置・導入工事,工事,山本 直美,神奈川,3,1062875,62.6
2024-01-03,年間保守（標準）,保守,高橋 剛,広島,3,274077,76.6
2024-01-04,産業用センサー（標準）,ハードウェア,前田 浩,大阪,1,83760,43.9
2024-01-06,IoTゲートウェイ,ハードウェア,石田 麻衣,神奈川,5,723351,52.0
2024-01-06,IoTゲートウェイ,ハードウェア,石田 麻衣,大阪,3,445490,53.7
2024-01-07,産業用センサー（高精度）,ハードウェア,前田 浩,神奈川,2,726969,48.4
2024-01-07,設置・導入工事,工事,高橋 剛,北九州,3,710650,63.4
2024-01-08,IoTゲートウェイ,ハードウェア,藤田 誠,愛知,3,447236,48.8
2024-01-10,産業用センサー（高精度）,ハードウェア,前田 浩,大阪,1,303384,51.1
2024-01-13,設置・導入工事,工事,石田 麻衣,北九州,1,230704,63.1
2024-01-17,産業用センサー（標準）,ハードウェア,藤田 誠,北九州,1,119972,47.8
2024-01-17,産業用センサー（標準）,ハードウェア,山本 直美,愛知,1,138834,41.2
2024-01-23,交換部品・消耗品,部品,高橋 剛,静岡,17,311849,36.7
2024-01-23,産業用センサー（標準）,ハードウェア,高橋 剛,大阪,5,473789,44.7
2024-01-24,年間保守（標準）,保守,藤田 誠,愛知,2,145256,77.6
2024-01-24,IoTゲートウェイ,ハードウェア,藤田 誠,北九州,5,863966,54.1
2024-01-26,産業用センサー（高精度）,ハードウェア,藤田 誠,愛知,2,469600,49.5
2024-01-27,年間保守（プレミアム）,保守,石田 麻衣,神奈川,1,173335,82.1
2024-01-27,IoTゲートウェイ,ハードウェア,山本 直美,神奈川,5,922504,52.4
2024-01-28,制御ユニット,ハードウェア,石田 麻衣,大阪,5,1798991,49.8
2024-02-02,年間保守（標準）,保守,高橋 剛,北九州,2,182132,76.7
2024-02-03,クラウド監視サービス,SaaS,藤田 誠,大阪,2,105428,73.8
2024-02-03,年間保守（標準）,保守,石田 麻衣,静岡,4,394839,77.3
2024-02-03,産業用センサー（高精度）,ハードウェア,前田 浩,広島,1,289249,50.6
2024-02-04,産業用センサー（標準）,ハードウェア,石田 麻衣,大阪,4,550544,42.7
2024-02-05,交換部品・消耗品,部品,石田 麻衣,大阪,4,69863,36.6
2024-02-06,交換部品・消耗品,部品,山本 直美,神奈川,15,381348,44.2
2024-02-07,年間保守（標準）,保守,高橋 剛,北九州,1,64811,77.9
2024-02-08,産業用センサー（標準）,ハードウェア,高橋 剛,北九州,5,733829,45.5
2024-02-10,産業用センサー（高精度）,ハードウェア,前田 浩,愛知,5,1457939,47.3
2024-02-10,交換部品・消耗品,部品,藤田 誠,愛知,1,21149,36.7
2024-02-12,交換部品・消耗品,部品,藤田 誠,神奈川,9,212285,42.7
2024-02-17,設置・導入工事,工事,藤田 誠,愛知,1,314065,62.6
2024-02-20,制御ユニット,ハードウェア,石田 麻衣,静岡,5,2333823,45.2
2024-02-23,産業用センサー（高精度）,ハードウェア,山本 直美,北九州,1,413547,52.1
2024-02-24,年間保守（標準）,保守,石田 麻衣,静岡,4,239272,79.2
2024-02-24,年間保守（プレミアム）,保守,山本 直美,大阪,4,767595,81.5
2024-02-25,IoTゲートウェイ,ハードウェア,高橋 剛,神奈川,2,456865,53.4
2024-03-02,年間保守（標準）,保守,前田 浩,大阪,2,173800,78.6
2024-03-04,年間保守（プレミアム）,保守,石田 麻衣,静岡,4,722337,82.0
2024-03-07,産業用センサー（高精度）,ハードウェア,高橋 剛,愛知,2,745946,49.8
2024-03-09,年間保守（プレミアム）,保守,山本 直美,広島,5,641633,81.0
2024-03-11,産業用センサー（高精度）,ハードウェア,高橋 剛,静岡,3,1025065,53.1
2024-03-17,年間保守（標準）,保守,高橋 剛,静岡,1,55285,77.4
