日付,商品名,カテゴリ,担当者,地域,数量,売上金額,利益率(%)
2023-01-02,業務プロセス改革,BPR,坂本 賢二,大阪,1,2147028,73.2
2023-01-03,調査・レポート作成,調査,森田 千夏,大阪,1,1017275,63.6
2023-01-05,業務プロセス改革,BPR,坂本 賢二,東京,1,3369029,73.4
2023-01-08,組織変革コンサル,人材,竹内 綾子,東京,1,2046314,71.3
2023-01-10,データ活用支援,データ,坂本 賢二,名古屋,1,1167091,71.7
2023-01-12,PMO支援,PM,森田 千夏,海外（アジア）,1,1342486,71.9
2023-01-14,M&Aデューデリ,M&A,長谷川 亮,東京,1,4831988,79.9
2023-01-18,調査・レポート作成,調査,森田 千夏,福岡,1,915682,64.7
2023-01-19,IT戦略ロードマップ,戦略,森田 千夏,東京,1,4069816,76.5
2023-01-20,IT戦略ロードマップ,戦略,河野 裕樹,名古屋,1,2320830,75.7
2023-02-02,調査・レポート作成,調査,坂本 賢二,大阪,1,1041049,67.1
2023-02-05,データ活用支援,データ,坂本 賢二,東京,1,1466903,74.1
2023-02-08,データ活用支援,データ,坂本 賢二,海外（アジア）,1,1813549,72.5
2023-02-11,IT戦略ロードマップ,戦略,森田 千夏,名古屋,1,3217204,74.4
2023-02-17,M&Aデューデリ,M&A,吉村 正一,海外（アジア）,1,2980076,79.9
2023-02-19,PMO支援,PM,河野 裕樹,福岡,1,861248,70.3
2023-02-23,IT戦略ロードマップ,戦略,河野 裕樹,大阪,1,2097190,75.7
2023-03-01,M&Aデューデリ,M&A,坂本 賢二,海外（アジア）,1,2906309,79.6
2023-03-05,IT戦略ロードマップ,戦略,坂本 賢二,福岡,1,3343132,75.1
2023-03-06,DX戦略策定,戦略,吉村 正一,大阪,1,5268770,77.9
2023-03-08,IT戦略ロードマップ,戦略,河野 裕樹,大阪,1,3472507,74.4
2023-03-09,PMO支援,PM,吉村 正一,大阪,1,1369963,70.7
2023-03-14,研修・ワークショップ,教育,河野 裕樹,海外（アジア）,1,630438,62.2
2023-03-14,PMO支援,PM,河野 裕樹,福岡,1,1509159,69.0
2023-03-15,業務プロセス改革,BPR,長谷川 亮,福岡,1,3480665,74.5
2023-03-15,組織変革コンサル,人材,森田 千夏,大阪,1,1829955,70.7
2023-03-18,PMO支援,PM,竹内 綾子,名古屋,1,1308336,68.3
2023-03-22,業務プロセス改革,BPR,竹内 綾子,海外（アジア）,1,2261920,74.8
